"ALS","","","","","","","","","","","","","","","","","","","","","",""
"SOIL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","","","",""
"SOIL SCI
908","Dept. Total","230","3.146","22.6","16.5","18.7","7.8","9.6","",".","0.4","17.4","0.4",".","",".","5.2","",".","0.9","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","2.800","25.0","25.0",".",".","50.0","",".",".",".",".",".","",".",".","",".",".",".","."
"Sophomore","","19","2.934","5.3","26.3","36.8","15.8","15.8","",".",".",".",".",".","",".",".","",".",".",".","."
"Junior","","38","2.980","18.4","23.7","23.7","10.5","18.4","",".","2.6",".",".",".","",".",".","",".",".","2.6","."
"Senior","","64","3.061","23.4","18.8","31.3","14.1","12.5","",".",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","125","3.004","19.2","21.6","28.8","12.8","16.0","",".","0.8",".",".",".","",".",".","",".",".","0.8","."
"Special","","10","2.789","10.0","10.0","30.0",".","20.0","",".",".","10.0",".",".","",".",".","",".","20.0",".","."
"Graduate","","95","3.712","28.4","10.5","4.2","2.1",".","",".",".","41.1","1.1",".","",".","12.6","",".",".",".","."
"","Dept. Total","230","3.146","22.6","16.5","18.7","7.8","9.6","",".","0.4","17.4","0.4",".","",".","5.2","",".","0.9","0.4","."
